Country,AggregateExh
United States,14112.0
France,3767.0
Germany,1741.0
United Kingdom,1156.0
Italy,848.0
Spain,669.0
Mexico,394.0
Netherlands,386.0
Switzerland,379.0
Russia,356.0
Japan,318.0
Austria,256.0
Belgium,204.0
Canada,126.0
Sweden,109.0
Poland,108.0
Chile,97.0
Brazil,87.0
Czech Republic,85.0
Argentina,77.0
Cuba,71.0
Denmark,60.0
Finland,58.0
Norway,49.0
Venezuela,38.0
Australia,34.0
Hungary,34.0
England,33.0
Israel,29.0
Colombia,29.0
Yugoslavia,25.0
Guatemala,24.0
Peru,21.0
Uruguay,19.0
Haiti,18.0
Greece,16.0
Latvia,16.0
Scotland,15.0
Romania,10.0
Ireland,9.0
Iceland,8.0
Turkey,7.0
Florence,6.0
Flanders,6.0
Bolivia,6.0
Ukraine,6.0
China,6.0
Ecuador,6.0
Iran,4.0
Croatia,4.0
India,4.0
Rhodesia,2.0
New Zealand,1.0
Panama,1.0
Slovenia,1.0
Sudan,1.0
Catalonia,1.0
Venice,1.0
Tanzania,1.0
Bosnia And Herzegovina,1.0
Georgia,1.0
Luxembourg,1.0
South Africa,1.0
Milan,1.0
